TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionID,AccountID,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,PreviousTransactionDate,Cluster
14.089999999999975,70.0,81.0,1.0,5112.21,TX000001,AC00128,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,Doctor,2024-11-04 08:08:08,2
126.28999999999999,19.0,56.0,1.0,1122.35,TX000003,AC00019,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,Student,2024-11-04 08:07:04,2
184.5,26.0,25.0,1.0,8569.06,TX000004,AC00070,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,Student,2024-11-04 08:09:06,2
13.449999999999989,26.0,198.0,1.0,7429.4,TX000005,AC00411,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,Student,2024-11-04 08:06:39,1
92.15,18.0,172.0,1.0,781.6800000000003,TX000006,AC00393,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,Student,2024-11-04 08:06:36,1
7.079999999999984,37.0,139.0,1.0,13316.71,TX000007,AC00199,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,Doctor,2024-11-04 08:10:09,1
106.23000000000002,51.0,86.0,1.0,9095.14,TX000009,AC00135,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,Engineer,2024-11-04 08:11:14,2
815.96,55.0,120.0,1.0,1021.8799999999997,TX000010,AC00385,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,Doctor,2024-11-04 08:06:32,0
17.78000000000003,52.0,59.0,1.0,7599.52,TX000011,AC00150,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,Engineer,2024-11-04 08:06:45,2
190.02000000000004,21.0,173.0,1.0,1528.81,TX000012,AC00459,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,Student,2024-11-04 08:07:12,1
494.52,24.0,111.0,1.0,1620.02,TX000013,AC00392,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,Student,2024-11-04 08:08:38,0
781.76,26.0,123.0,1.0,189.6899999999996,TX000014,AC00264,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,Student,2024-11-04 08:07:06,0
166.99,18.0,134.0,1.0,299.9300000000003,TX000015,AC00085,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,Student,2024-11-04 08:10:09,1
465.45,36.0,129.0,1.0,3465.54,TX000016,AC00270,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,Engineer,2024-11-04 08:12:19,0
555.8,19.0,158.0,1.0,1131.2600000000002,TX000017,AC00317,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,Student,2024-11-04 08:07:35,0
492.93,39.0,234.0,1.0,5109.97,TX000018,AC00359,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,Engineer,2024-11-04 08:11:51,1
18.680000000000007,59.0,106.0,1.0,7948.37,TX000019,AC00242,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,Retired,2024-11-04 08:12:01,2
71.47999999999999,18.0,169.0,1.0,6568.59,TX000020,AC00285,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,Student,2024-11-04 08:09:20,1
59.31999999999999,71.0,38.0,1.0,5750.89,TX000021,AC00002,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,Retired,2024-11-04 08:09:24,2
85.76999999999998,38.0,93.0,1.0,9146.19,TX000022,AC00014,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,Doctor,2024-11-04 08:08:13,2
52.19999999999999,39.0,120.0,1.0,8974.93,TX000023,AC00095,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,Engineer,2024-11-04 08:07:01,1
145.54,21.0,96.0,1.0,1930.96,TX000025,AC00241,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,Student,2024-11-04 08:07:09,2
40.31999999999999,37.0,95.0,1.0,2686.52,TX000028,AC00057,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,Engineer,2024-11-04 08:11:59,2
