teks,skor,label
MOBILE LEGENDS BANG BANG ADALAH GAME TERBAIK,5,positif
sangat seru dan gampang cara main nay,5,positif
"atur noh matchmaking tim di in game, beban semua dikasihnya, giliran musuh dikasih maen serius sedangkan tim gaguna sama sekali",5,positif
kalo kalah lagi gw pindah gem ?╭∩╮╭∩╮╭∩╮╭∩╮,1,negatif
sekarang kok banyak bot nya kalo seperti ini enak di hapus aja MOBILE LEGENDS,1,negatif
woi monton kasih gw menang tra sampe imo game lu gw main kan trs gmn deal,5,positif
bantu saya ke mythic kasih musuh yg bot¹,5,positif
"game aneh playing victim, katanya gaboleh afk tapi gamenya sendiri yg bikin kita afk",1,negatif
elag aku kalah terus,1,negatif
karena game Nya jelek dapet dark sistem Mulu bayagin lu dikit lagi naik mitik tapi lu kalah terus ampe balik ke epic,1,negatif
Baru di update. malah tambah loading,1,negatif
"bagus game nya tapi,,plis monton jangan kasih drak sistem mulu",5,positif
"mobile legends , kasih tim kok brawel terus gimana. bikin malas maen aja",2,negatif
Tolong jgn terlalu sering diupdate,5,positif
"dahlah ,baru juga sya kasih ulasan bagus udah bikin saya losetreak Mulu ini gimana si ya walau menang itu cuma sekali"" udah win lose lose lose lose ,win ,lose gitu aja terus •kan saya maen game ini cuma buat seneng"" doang tapi malah lose yang di perbanyak bikin stress gak tenang ,bahkan gak bisa tidur karna mikirin itu",2,negatif
"THERE IS NO NEED TO ADD ANY MORE SKINS, THERE ARE ALREADY MANY OF YOU THAT NEED TO BE FIXED, THE SYSTEM DRAK IS A LOT, THEN MAKE IT MORE DRAK SISTEM. IT'S NOT CLEAR, YOU ARE EATING BLIND SALARIES, ARE YOU ADMINS?",1,negatif
game yang sangat seru,5,positif
game isinya orang bodoh...,1,negatif
gua kasi bintang satu karena ngeleg kali tolong monton,1,negatif
aku main bintangnya hanya naik turun,1,negatif
best,5,positif
geme ya bagus,5,positif
game yang bagus Heronya bagus grafik nya bagus apalagi ml mau kolaborasi Naruto,5,positif
ikit ikut ffxnaruto sangat pelagiat ff,1,negatif
permainan ini sangat seru dan menantang,5,positif
geme ini sangat seru dan bisa Mabar berlima seperti konvoi,5,positif
"Gamenya sangat bagus dan hd,cuma kekurangannya mungkin di pembagian teamnya saja🙏🙏🙏",5,positif
"impianku mendownload ml ini tapi ini maaf ni monton,jangan suka ngasih tim dark sistem dan kurangi orang yang suka trool",4,positif
seru sangat ui,5,positif
Sungguh buruk dan kalian akan di paksa Tim buruk supaya mainin ini terus..,1,negatif
seru banget main game ini aku kasih bintang 5,5,positif
di in game selalu lag dan dalam Macht selalu dapet musuh jago sedangkan di team gak ada yg bener,1,negatif
"Sampai sekarang 3role yg sering diaminin kaga pernah dihilangin juga ampun🫵. gara-gara 3role yang sering dimaenin itu justru banyak yang alesan kaga bisa tank karena memang tidak ada role tank yang dia maenin. itu sebenarnya bukan bentuk tidak bisa maen tank. hanya saja rata-rata player sekarang itu malas hero tank. dan yang dari dulu terbiasa membawa kemenangan digoldlane, jungler, dan midlane, justru role kebanyakan maennya jadi roam. itu sebenarnya karena sering mengalah saja.",5,positif
jelek banget ngelag ngeleg abis menang langsung kalah nyepin juga gk daet dapet udah ws 10 kali kalah 14 kali,1,negatif
"Lu bikin tombol ulang rekaman ngapa moonton, ngerecod 3× gw ulang cape jir",4,positif
bang muntun kok aku keluar terus saat main ML saat aku melihat skin bagus di loading screen bang bisa dibenerin nggak,1,negatif
"seru game masa kecil game., ini game satu satunya game moba saya dan Terima kasih 🙏",5,positif
tolong monton jangan bikin ngelek terus malas jadi main,1,negatif
game ga bermutu dpt team selalu bot stiap di bintang 40 selalu ls 10,1,negatif
permainan ini tidak seru dan kompitibel,1,negatif
bagus,5,positif
ᥱᥒᥲk 𝕓𝕖𝕣𝕞𝕒𝕚𝕟 𝗆𝗈𝖻𝗂𝗅𝖾 ᥣᥱgᥱᥒძs,5,positif
"gajelas, dikasih win 1 kali di kasih lose 8 kali.",1,negatif
jelek sekali main game ini kebanyakan drack sistem main harusnya seimbang montoon,2,negatif
good,5,positif
permainan yang sangat baik dan sangat bagus juga banyak skin-skin menarik gratis makasih mobile legends karena aku baru top up 50 ribu tapi udah punya si tapi aku udah punya skin banyak terima kasih mobile legends,5,positif
game yang sangat cocok untuk hiburan saya senang sekali karena saya losetreak sampai7 hebat banget,1,negatif
game ini gausah dimainin sengaja bikin kalah.....awal awal dikasih seneng menang terus padahal mau mitich 1 bintang lagi malah dikasih kalah terus menerus ampe legend 3 yok kasih bintang 1 spam 😡😡,1,negatif
ada masalah apa si moonton ping 19 kok merah😴,4,positif
bagus,5,positif
sinyal busuk perbaiki,2,negatif
game kikir cuma butuh duit doang pntk,1,negatif
game apa nih di pencet² GK mau kepencet mending main ff,1,negatif
game ini sangat bagus dan karakter nya bagus sekali,5,positif
game nya seru banget,5,positif
"lama lama makin gk seru ini game, banyak dark sistem nya, menang 1x kalah berkali kali",1,negatif
