teks,skor,label
"gamenya sangat seru, saya main 5x menang habis itu 6x kalah, kalo bisa lawannya dikasih yg lebih jago-jago lagi biar semakin menantang.",1,negatif
"apasih ini, baru pertama kali main ampe 5 kali relog ttp lag cuma bertahan bbrp menit digame trs menghubungkan koneksi lagi padahal jaringan wifi full buka apk yg lain jg lancar",1,negatif
"inii luu beneran bikin game apa gimana si moonton dapett team gaada yang bener, sekalinya dapet team bener harus lose streakk 10x gua udah berusaha nih yaa team guaa gaada yang berkontribusi sama sekalii cobaa di upgrade lahh diseimbangin lagi dari matchmaking gaada yang bener dari kapam hari aneh",1,negatif
"tolong jaringan saya bagus tapi di ml nya kenapa menhubungkan ulang terus,terus kenapa kadang kalo main rang banyak tim beban kaya nana retri hayper sedangkan tim musuh jago jago satu lagi kenapa ml makin update makin lag sama mb mulai naik sedang kan rata² hp lama yg bisa main tapi pas di dalam gem lag parah",1,negatif
saya main dari 2019 blm pernah ketemu musuh pake cit jaringan knp sekarang banyak banget yang pake cooo bikin MLS coo tolong dong monton tindak lanjutin tolong banget ini mh,1,negatif
tolong perbaikilah jaringan nga masa sinyal bagus susah buat gerak🙏🙏🙏🙏,2,negatif
kasih tim yg betul sikit yapid mo glori gw anjeng,1,negatif
"harap perbaiki bug sama verifikasi untuk login semakin update malah semakin susah saya mau loginnya,tolong update nya di perbaiki bukan jadi lebih buruk hingga pengguna seperti saya tidak bisa login akun",1,negatif
gelo ngelag,1,negatif
"game rusak jgn donlod game rusak, pin lag pas war apa lah rusak rusak, klo dh mati batu pin hijau, dasar game rusak",1,negatif
apk gak jelass ngebug ngeleg udah lama main apk game ini 3 tahun makin kesini makin aneh bangkrut lah sekalian taikkk,1,negatif
sangat memuaskan .tp beli diamon nya agak mahal,5,positif
"kasih tim yang bener la, cape kalah mulu dikasih tim yang gabisa maen, kalo menang ya seru, tapi ban aja la dark kaya gitu nyusahin, tadinya mau gua kasih bintang setengah, makanya kasih sistem yang bener, misal, jago vs jago, cuma bs maen pas pas an vs cuma bisa maen,dark vs dark, ya minimal gitu laa, cape orng nge push semalam, dapet tim ga bener, bukannya nambah bintang malah ketemu binatang, udh stress bintang turun, darah rendah pula, benerin sistem lu, gajelas bngt dikasih tim kayak gitu",1,negatif
"Di kasin team busuk terus mobil legens asu dark system mulu dah bida kasih temen yang bagusan gak, monton asu",1,negatif
sistem matchmaking selalu gak adil dimana musuh terlalu jago dan tim saya masih pemula.,1,negatif
"NAJISS BUGGG JARINGAN 8 - 10 MS MASIH LAGG??GAJELAS BGTTT UDAA COBA REALOG,UDAA COBA RESET JARINGAN DRI MOONTON NYA GAJELAS BGTT SUMPAHHH",1,negatif
masa sinyal bangus 10mbps masih lag 2 bintang gua ilang,1,negatif
kasih Menang lah moonton kok dapat tim beban trus ayok lah MOONTON,1,negatif
ah anj monton klo ngasi tim yg bnr anjg gua ls trs,1,negatif
game tolol bego gak guna yang nyiptainnya yatim,1,negatif
akhir2 ini bayak bug leg jir 20 ms ngleg padahl hp rm8 7.8 ghz,1,negatif
tolong hilakan drak sitem,2,negatif
"2x main rank tiba tiba berhenti ga bisa gerak jaringan data bagus ,dan akhir nya kalah parah mlbb sinyal game nya Ancur",1,negatif
bagus tapi game banyak bug sering lag padahal jaringan bagus,2,negatif
woy monton ini bug gimana dah sinyal gua bagus masa diley terus gua pendukunv setia ml malah tambah oon game nya ada bug segala bug sinyal lah paling ngeselin,5,positif
"anjingg sia bisa teu nyien game teh ulah aya eleh na goblok aink ge da hayang meunang atuhh ulah ka batur keun wae meunang na bosen eleh wae anyy,cik atuhh sakali mah bere ka sempatan aink meunangg atuhh kontolll!!!! Beuki Kadie beuki capruk ie game ges edek menang ngelag gelo ie game,lain aink lain teu bisa,da kumaha dei mere balad na anu talolol waee anjingg setan teh",5,positif
"Game rusak! Padahal ping hijau kenapa lag, gk bisa gerak sama sekali udh gitu bintang turun juga hadeh, push rank mati"" an enk bet bikin turun bintang, minimal kasih kompensasi bintang nya anj!",1,negatif
game anj game kikir dikit dikit dark sistem memang anj game buatan moonton bngst gk ngotak game banyak bug nya ngeleg terus pdhl lancar.klo main solo ditemuin ank bgst bocil ngetrooll memang anj game moonton paling laknat game haram game dongo game perusak masa depan ngentoddd cape cape main 5 jam naik kagak malah nambah turun bintang kocakkk game taiii,1,negatif
"kenapa sering lag moontpn peak, padahal jaringan full hp samsung s24 pluss. knpa sering lag blok skrg tlol",1,negatif
